"AA",34.75,"2/15/2007 1:12pm",+0.18,34.45,35.09,34.04,8179500
"AIG",69.06,"2/15/2007 1:12pm",-0.20,69.13,69.33,68.92,3583000
"AXP",58.86,"2/15/2007 1:12pm",+0.17,58.52,59.12,58.52,2940100
"BA",91.27,"2/15/2007 1:12pm",+1.33,90.02,91.45,89.86,3059500
"C",54.10,"2/15/2007 1:12pm",-0.08,54.20,54.52,54.04,7052100
"CAT",67.42,"2/15/2007 1:12pm",+1.26,68.00,68.20,67.00,6436300
"DD",51.77,"2/15/2007 1:12pm",-0.02,52.02,52.17,51.61,2473200
"DIS",34.37,"2/15/2007 1:12pm",-0.38,34.70,34.73,34.17,6131600
"GE",36.12,"2/15/2007 1:12pm",-0.35,36.36,36.47,36.08,19430500
"GM",36.55,"2/15/2007 1:12pm",+0.05,36.45,36.70,36.42,3561900
"HD",41.76,"2/15/2007 1:12pm",+0.03,41.57,41.82,41.32,5057000
"HON",47.31,"2/15/2007 1:12pm",-0.23,47.38,47.57,47.15,1612900
"HPQ",42.64,"2/15/2007 1:12pm",-0.19,42.72,42.98,42.64,5213000
"IBM",98.70,"2/15/2007 1:12pm",-0.50,99.06,99.52,98.55,2775100
"INTC",21.22,"2/15/2007 1:17pm",+0.08,21.15,21.28,21.13,25395896
"JNJ",65.87,"2/15/2007 1:12pm",+0.02,65.75,65.93,65.59,4613000
"JPM",51.24,"2/15/2007 1:12pm",-0.18,51.05,51.45,50.89,5804700
"KO",47.70,"2/15/2007 1:12pm",-0.18,47.99,48.10,47.69,6179200
"MCD",44.96,"2/15/2007 1:12pm",-0.06,44.90,45.24,44.84,2279300
"MMM",76.99,"2/15/2007 1:12pm",+0.15,76.90,77.38,76.60,1819200
"MO",86.33,"2/15/2007 1:12pm",-0.06,86.38,86.61,85.90,5084500
"MRK",43.97,"2/15/2007 1:12pm",-0.09,43.91,44.06,43.70,5497600
"MSFT",29.50,"2/15/2007 1:17pm",+0.10,29.55,29.65,29.22,33552804
"PFE",26.45,"2/15/2007 1:12pm",-0.13,26.58,26.58,26.35,18658100
"PG",65.02,"2/15/2007 1:12pm",+0.14,64.80,65.40,64.80,3188900
"T",37.20,"2/15/2007 1:12pm",+0.01,37.31,37.37,37.03,8018300
"UTX",69.22,"2/15/2007 1:12pm",+1.05,68.51,69.35,68.26,3263200
"VZ",38.53,"2/15/2007 1:12pm",-0.10,38.53,38.68,38.45,3776500
"WMT",48.46,"2/15/2007 1:12pm",+0.59,47.90,48.54,47.82,5948100
"XOM",75.08,"2/15/2007 1:12pm",-0.52,75.19,75.49,74.72,9400800

